offset,error
28,0.006323030228776618
29,0.006384338322910575
30,0.006445694067228659
31,0.006507096113872855
32,0.006568543164385504
33,0.006630033967510532
34,0.006691567317109862
35,0.006753142050186147
36,0.00681475704500669
37,0.0068764112193227716
38,0.006938103528678183
39,0.006999832964802738
40,0.007061598554085257
41,0.007123399356121845
42,0.007185234462335875
43,0.007247102994663819
44,0.007309004104305549
45,0.007370936970534194
46,0.007432900799562893
47,0.0074948948234647254
48,0.007556918299143397
49,0.007618970507352867
50,0.007681050751760768
51,0.0077431583580564465
52,0.007805292673098754
53,0.00786745306410326
54,0.007929638917865458
55,0.007991849640019326
56,0.008054084654328397
57,0.008116343402008735
58,0.00817862534108104
59,0.00824092994575143
60,0.008303256705818891
61,0.008365605126108278
62,0.00842797472592779
63,0.00849036503854906
64,0.008552775610709499
